user_id,attractiveness,selectiveness,commitment,churn_base,match_quality,relationship,churn_prob,churn,alive,week,algo
0,0.30471707975443135,0.32540766839922286,0.40783859650104515,0.02553034780049805,0.2781264570183323,False,0.015118086585359382,False,True,0,love
1,-1.0399841062404955,0.5669626566162037,0.39319168509184554,0.025710075728848134,-1.2907419810309784,False,0.015601087729183376,False,True,0,love
2,0.7504511958064572,0.628192672546931,0.41206183085997755,0.013843085286884027,0.5632058350218974,False,0.008138878218819779,False,True,0,love
3,0.9405647163912139,0.38804593992459147,0.49337933833437414,0.02064647273456047,0.16666229192760296,False,0.01045992967784433,True,False,0,love
4,-1.9510351886538364,0.5017714982564171,0.7740156261404935,0.030085311545385247,-2.2899814916531787,False,0.006798810291952068,False,True,0,love
5,-1.302179506862318,0.8925884686538771,0.9596824343206349,0.027273920045387895,-2.053498896975878,False,0.0010996180627636778,False,True,0,love
6,0.12784040316728537,0.30973827380548286,0.7352299440989057,0.03180138982972441,-0.36285875292378644,False,0.008420055762948622,False,True,0,love
7,-0.3162425923435822,0.5715047589146305,0.6377330167552806,0.04396262594549626,-0.5461358658458265,False,0.01592620787679096,False,True,0,love
8,-0.016801157504288795,0.8055927730309178,0.5588782464137078,0.01900969210798448,-0.48234940933684295,False,0.008385588717809615,False,True,0,love
9,-0.85304392757358,0.4943407576315731,0.8625555736300932,0.011106567236252479,-1.2720590708657915,False,0.0015265357627255235,False,True,0,love
10,0.8793979748628286,0.587879101653092,0.8797257619568559,0.01152901781130963,0.599185409170819,False,0.0013866438326411022,False,True,0,love
11,0.7777919354289483,0.8868274474727881,0.43443013954625487,0.015366752212274336,0.49724485784273087,False,0.008690971904323276,False,True,0,love
12,0.06603069756121605,0.5849261018854224,0.9627361989227441,0.032819319392176104,-0.7569310879357121,False,0.0012229725893209776,False,True,0,love
13,1.1272412069680329,0.37855278728789943,0.5160922905651056,0.04232739240151699,0.9683922445347936,True,0.020482551503370038,False,True,0,love
14,0.4675093422520456,0.3310328949998346,0.8400624553532223,0.04547223757122526,0.05512523836259789,False,0.007272718026736721,False,True,0,love
15,-0.8592924628832382,0.8672499434639691,0.9734559024657867,0.03540452807899885,-1.4255278039137473,False,0.0009397812464817379,False,True,0,love
16,0.36875078408249884,0.45948564796503943,0.762926480684489,0.02612573009803574,0.09477347626779656,False,0.006193718779028503,False,True,0,love
17,-0.9588826008289989,0.6024383439387306,0.329240581160955,0.016180588326245898,-1.7788381716283275,False,0.010853282022186534,False,True,0,love
18,0.8784503013072725,0.3544210596539812,0.6689095641391447,0.02605673357773916,0.379649282667121,False,0.008627135277363841,False,True,0,love
19,-0.049925910986252896,0.5541930723303631,0.29502169847646276,0.023296605356311343,-0.6318616713572294,False,0.01642360127535651,False,True,0,love
20,-0.18486236354526056,0.8580633115500745,0.8313136318951411,0.04480103523428551,-0.9042143952352006,False,0.00755732392100944,False,True,0,love
21,-0.6809295444039414,0.601447796178563,0.4250521390991064,0.029468775096424288,-1.4360751428772651,False,0.016943009205058666,False,True,0,love
22,1.2225413386740303,0.8826810910813968,0.7561718584480149,0.019047835998181155,1.4079366407428224,True,0.004644398452023512,False,True,0,love
23,-0.15452948206880215,0.45530138234243983,0.9280717393041592,0.021552042672631194,-0.04631432670361735,False,0.001550200943884902,False,True,0,love
24,-0.4283278221631072,0.6027271438223624,0.3448078805361379,0.015458806581707561,-2.351756341136603,False,0.010128488248650879,False,True,0,love
25,-0.3521335504882296,0.8157184750855953,0.5142862708809334,0.04674341796276525,-2.019641663638188,False,0.022703919850465874,False,True,0,love
